,precision,recall,f1-score,support
0,0.13157894736842105,0.10638297872340426,0.11764705882352941,47.0
1,0.6444444444444445,0.7967032967032966,0.7125307125307125,182.0
2,0.07142857142857142,0.02702702702702703,0.0392156862745098,37.0
3,0.0,0.0,0.0,2.0
4A,0.2,0.09090909090909091,0.125,11.0
4B,0.0,0.0,0.0,3.0
4X,0.0,0.0,0.0,7.0
accuracy,0.5259515570934256,0.5259515570934256,0.5259515570934256,0.5259515570934256
macro avg,0.1496359947487767,0.14586034190897412,0.1420562082326788,289.0
weighted avg,0.44399984968187484,0.5259515570934256,0.4776331551468942,289.0
