,precision,recall,f1-score,support
0,0.09302325581395349,0.0851063829787234,0.08888888888888889,47.0
1,0.6409090909090909,0.7747252747252747,0.7014925373134329,182.0
2,0.11764705882352941,0.05405405405405406,0.07407407407407407,37.0
3,0.0,0.0,0.0,2.0
4A,0.2,0.09090909090909091,0.125,11.0
4B,0.0,0.0,0.0,3.0
4X,0.0,0.0,0.0,7.0
accuracy,0.5121107266435986,0.5121107266435986,0.5121107266435986,0.5121107266435986
macro avg,0.15022562936379624,0.14354211466673475,0.14135078575377083,289.0
weighted avg,0.44142037628090297,0.5121107266435986,0.4704676827320529,289.0
