,precision,recall,f1-score,support
0,0.391304347826087,0.19148936170212766,0.2571428571428571,47.0
1,0.8089887640449438,0.7912087912087912,0.8,182.0
2,0.39344262295081966,0.6486486486486487,0.4897959183673469,37.0
3,0.16666666666666666,0.5,0.25,2.0
4A,0.6666666666666666,0.7272727272727273,0.6956521739130435,11.0
4B,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
4X,1.0,0.8571428571428571,0.9230769230769231,7.0
accuracy,0.671280276816609,0.671280276816609,0.671280276816609,0.671280276816609
macro avg,0.5848193906888357,0.6260612932345456,0.5831906484524053,289.0
weighted avg,0.6811463775773455,0.671280276816609,0.6658196388923462,289.0
