,precision,recall,f1-score,support
0,0.32727272727272727,0.3829787234042553,0.35294117647058826,47.0
1,0.7966101694915254,0.7747252747252747,0.7855153203342619,182.0
2,0.525,0.5675675675675675,0.5454545454545454,37.0
3,0.0,0.0,0.0,2.0
4A,0.6,0.2727272727272727,0.375,11.0
4B,0.0,0.0,0.0,3.0
4X,0.5714285714285714,0.5714285714285714,0.5714285714285714,7.0
accuracy,0.6470588235294118,0.6470588235294118,0.6470588235294118,0.6470588235294118
macro avg,0.4029016383132606,0.36706105855042026,0.3757628019554238,289.0
weighted avg,0.6587884741497433,0.6470588235294118,0.6500305943832924,289.0
