,precision,recall,f1-score,support
0,0.5161290322580645,0.3404255319148936,0.41025641025641024,47.0
1,0.8097560975609757,0.9120879120879121,0.8578811369509044,182.0
2,0.5263157894736842,0.5405405405405406,0.5333333333333333,37.0
3,0.0,0.0,0.0,2.0
4A,0.7142857142857143,0.45454545454545453,0.5555555555555556,11.0
4B,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
4X,1.0,0.42857142857142855,0.6,7.0
accuracy,0.7335640138408305,0.7335640138408305,0.7335640138408305,0.7335640138408305
macro avg,0.6047361857493007,0.4775482191895565,0.5176704432518386,289.0
weighted avg,0.7196003506570787,0.7335640138408305,0.7178576562337726,289.0
